Exp 6 | Epoch 1 | lr=3e-05 | dropout=0.2 | val acc=0.8896
Exp 6 | Epoch 2 | lr=3e-05 | dropout=0.2 | val acc=0.8930
Exp 7 | Epoch 1 | lr=2e-05 | dropout=0.1 | val acc=0.9002
Exp 7 | Epoch 2 | lr=2e-05 | dropout=0.1 | val acc=0.9076
Exp 7 | Epoch 3 | lr=2e-05 | dropout=0.1 | val acc=0.9006
Exp 8 | Epoch 1 | lr=2e-05 | dropout=0.3 | val acc=0.9050
Exp 8 | Epoch 2 | lr=2e-05 | dropout=0.3 | val acc=0.9078
Exp 8 | Epoch 3 | lr=2e-05 | dropout=0.3 | val acc=0.9080
Exp 9 | Epoch 1 | lr=2e-05 | dropout=0.3 | val acc=0.9236
Exp 9 | Epoch 2 | lr=2e-05 | dropout=0.3 | val acc=0.9204
Exp 9 | Epoch 3 | lr=2e-05 | dropout=0.3 | val acc=0.9158
